hash,from,to,value,asset,blockNum
0x304346de678ddca5b1311970e7e8d3f26a42d2924aaa2f2d73b8781a9a9a2c73,0xfd2605a2bf58fdbb90db1da55df61628b47f9e8c,0x073f70b5bfade6409e4951ef72bc8f4157677729,1.0000000000000001e-20,ETH,0xb4ab
0xfaa38b22af568040ad5f21db3d361736e7c94ee64f74c57a82b2af7ee17c2bf1,0x762998e1d75227fced7a70be109a4c0b4ed86414,0x9e0afd592b1e40bee26816e360f02eebf04ad74b,1.0000000000000001e-21,ETH,0xb4ad
0xe92bfc194a46e254244a83d8f1d07475cc28c871c12f53c3f9257d3af18e91b5,0x22f2dcff5ad78c3eb6850b5cb951127b659522e6,0xb5ce1861d98e85c84531dbc18720278328fd97f6,1e-18,ETH,0xb4ae
0xa65bf5b19d573a4dd48bc8a0a4a9f05b6d0bcd713cba1c57b45130cf890a5600,0x136d4b662bbd1080cfe4445b0fa213864435b7f1,0xc8ebccc5f5689fa8659d83713341e5ad19349448,9.99e-16,ETH,0xb4b0
0x6a146485f54509d31fc1c692e2e15463ac14e220c8211a58edc3fc4abe4348e6,0x03b35d960c861fe987c50380d76db9d6ae1fa510,0x07dc8c8b927adbedfa8f5d639b4352351f2f36d2,1e-18,ETH,0xb4b3
0x0fb28c67b7769598af04e3f804b41eeddeacc2ceace8d0af00dac49d0eb0b09c,0x39d4a931402c0c79c457186f24df8729cf957031,0xe1f5b8dc9336bc9637ea97c3f3b13cd363f88854,3e-15,ETH,0xb4b4
0xb5d9600f78d76834ca44efc0e6dbc1e11b34007807ee4076afb6bf8933a74048,0x15e34a8324164ef0890471f6f527451f7a22cf12,0x2c00e533f36ac741a29be87acb63366d2200138c,1e-16,ETH,0xb4b5
0x003bd72d0e4da122082e919487bb0df8734d0747141a1f9c24dbd96427a99ece,0x762998e1d75227fced7a70be109a4c0b4ed86414,0x9e0afd592b1e40bee26816e360f02eebf04ad74b,1.89e-17,ETH,0xb4b6
0x29a31f5c9a2820beb81ea553ba69e331193383c433c560fbfe921204a86d55b0,0xc1cdc601f89c0428b31302d187e0dc08ad7d1c57,0x806f38edec3539c3b368f49f5783d8c673935375,1e-15,ETH,0xb4bd
0x0e2a5aa2d5cabaa90d3d00c9d8e5f3fb6e48e398df6b60a70bfecd584d33974c,0x22f2dcff5ad78c3eb6850b5cb951127b659522e6,0xb5ce1861d98e85c84531dbc18720278328fd97f6,1e-18,ETH,0xb4be
0x6a749df68169beccb1a548f75d68badcba816c2ad142f6aa1c0129ae30f36d04,0x762998e1d75227fced7a70be109a4c0b4ed86414,0x9e0afd592b1e40bee26816e360f02eebf04ad74b,4.2000000000000004e-20,ETH,0xb4bf
0xc97331513f24f2bb94142a7e3b87d9da9d7a0760214129e225ff3eea4b188c38,0x6232df6f3a300fcd3bc591452ac447eea3ac079f,0xd5508890f2b282fb1939b561ec11d8f2b6ed4e05,1e-18,ETH,0xb4c1
0x669890439f5093b7dfbca9b06de1d6da78ceacf1ec0753252b3e6cf10ff81a3e,0xdc49b9dc1abb93ebb856547a1c0578d65f4a32de,0xff68c2f39c4e7fe2f92c2dc2f8615b1bf070e0fa,1.5e-17,ETH,0xb4c2
